Numer X Y H 
@10302 5593348.069 6576072.339 -0.001 
@10303 5593348.119 6576072.339 -0.003 
@10304 5593348.169 6576072.339 -0.004 
@10305 5593348.219 6576072.339 -0.003 
@10306 5593348.269 6576072.339 -0.002 
@10307 5593348.319 6576072.339 -0.002 
@10308 5593348.369 6576072.339 -0.003 
@10309 5593348.419 6576072.339 -0.003 
@1031 5593347.269 6576073.639 0.003 
@10310 5593348.469 6576072.339 -0.002 
@10311 5593348.519 6576072.339 -0.003 
@10312 5593348.569 6576072.339 -0.003 
@10313 5593348.619 6576072.339 -0.003 
@10314 5593348.669 6576072.339 -0.003 
@10315 5593348.719 6576072.339 -0.004 
@10316 5593348.769 6576072.339 -0.004 
@10317 5593348.819 6576072.339 -0.004 
@10318 5593348.869 6576072.339 -0.004 
@10319 5593348.919 6576072.339 -0.004 
@1032 5593347.369 6576070.639 -0.003 
@10320 5593348.969 6576072.339 -0.004 
@10321 5593349.019 6576072.339 -0.003 
@10322 5593349.069 6576072.339 -0.003 
@10323 5593349.119 6576072.339 -0.003 
@10324 5593349.169 6576072.339 -0.002 
@10325 5593349.219 6576072.339 -0.004 
@10326 5593349.269 6576072.339 -0.005 
@10327 5593349.319 6576072.339 -0.005 
@10328 5593349.369 6576072.339 -0.004 
@10329 5593349.419 6576072.339 -0.004 
@1033 5593347.369 6576070.689 -0.004 
@10330 5593349.469 6576072.339 -0.004 
@10331 5593349.519 6576072.339 -0.004 
@10332 5593349.569 6576072.339 -0.003 
@10333 5593349.619 6576072.339 -0.003 
@10334 5593349.669 6576072.339 -0.004 
@10335 5593349.719 6576072.339 -0.004 
@10336 5593349.769 6576072.339 -0.004 
@10337 5593349.819 6576072.339 -0.004 
@10338 5593349.869 6576072.339 -0.004 
@10339 5593349.919 6576072.339 -0.004 
@1034 5593347.369 6576070.739 -0.005 
@10340 5593349.969 6576072.339 -0.003 
@10341 5593350.019 6576072.339 -0.004 
@10342 5593350.069 6576072.339 -0.005 
@10343 5593350.119 6576072.339 -0.004 
@10344 5593350.169 6576072.339 -0.003 
@10345 5593350.219 6576072.339 -0.002 
@10346 5593350.269 6576072.339 -0.002 
@10347 5593350.319 6576072.339 -0.002 
@10348 5593350.369 6576072.339 -0.002 
@10349 5593350.419 6576072.339 -0.003 
@1035 5593347.369 6576070.789 -0.004 
@10350 5593350.469 6576072.339 -0.003 
@10351 5593350.519 6576072.339 -0.002 
@10352 5593350.569 6576072.339 -0.002 
@10353 5593350.619 6576072.339 -0.002 
@10354 5593350.669 6576072.339 -0.001 
@10355 5593350.719 6576072.339 -0.002 
@10356 5593350.769 6576072.339 -0.002 
@10357 5593350.819 6576072.339 -0.001 
@10358 5593350.869 6576072.339 0.000 
@10359 5593350.919 6576072.339 0.000 
@1036 5593347.369 6576070.839 -0.004 
@10360 5593350.969 6576072.339 -0.001 
@10361 5593351.019 6576072.339 0.000 
@10362 5593351.069 6576072.339 0.000 
@10363 5593351.119 6576072.339 0.001 
@10364 5593351.169 6576072.339 0.001 
@10365 5593351.219 6576072.339 0.001 
@10366 5593351.269 6576072.339 0.002 
@10367 5593351.319 6576072.339 0.002 
@10368 5593351.369 6576072.339 0.002 
@10369 5593351.419 6576072.339 0.002 
@1037 5593347.369 6576070.889 -0.003 
@10370 5593351.469 6576072.339 0.002 
@10371 5593351.519 6576072.339 0.003 
@10372 5593351.569 6576072.339 0.004 
@10373 5593351.619 6576072.339 0.004 
@10374 5593351.669 6576072.339 0.004 
@10375 5593351.719 6576072.339 0.004 
@10376 5593351.769 6576072.339 0.004 
@10377 5593351.819 6576072.339 0.004 
@10378 5593351.869 6576072.339 0.004 
@10379 5593351.919 6576072.339 0.003 
@1038 5593347.369 6576070.939 -0.003 
@10380 5593351.969 6576072.339 0.003 
@10381 5593352.019 6576072.339 0.003 
@10382 5593352.069 6576072.339 0.003 
@10383 5593352.119 6576072.339 0.003 
@10384 5593352.169 6576072.339 0.004 
@10385 5593352.219 6576072.339 0.005 
@10386 5593352.269 6576072.339 0.006 
@10387 5593352.319 6576072.339 0.005 
@10388 5593352.369 6576072.339 0.005 
@10389 5593352.419 6576072.339 0.005 
@1039 5593347.369 6576070.989 -0.003 
@10390 5593352.469 6576072.339 0.006 
@10391 5593352.519 6576072.339 0.005 
@10392 5593352.569 6576072.339 0.005 
@10393 5593352.619 6576072.339 0.005 
@10394 5593352.669 6576072.339 0.005 
@10395 5593352.719 6576072.339 0.005 
@10396 5593352.769 6576072.339 0.004 
@10397 5593352.819 6576072.339 0.004 
@10398 5593352.869 6576072.339 0.004 
@10399 5593352.919 6576072.339 0.003 
@1040 5593347.369 6576071.039 -0.003 
@10400 5593352.969 6576072.339 0.002 
@10401 5593353.019 6576072.339 0.002 
@10402 5593353.069 6576072.339 0.002 
@10403 5593353.119 6576072.339 0.001 
@10404 5593353.169 6576072.339 0.000 
@10405 5593353.219 6576072.339 0.001 
@10406 5593353.269 6576072.339 0.001 
@10407 5593353.319 6576072.339 0.001 
@10408 5593353.369 6576072.339 0.001 
@10409 5593353.419 6576072.339 0.001 
@1041 5593347.369 6576071.089 -0.004 
@10410 5593353.469 6576072.339 0.001 
@10411 5593353.519 6576072.339 0.001 
@10412 5593353.569 6576072.339 0.001 
@10413 5593353.619 6576072.339 0.001 
@10414 5593353.669 6576072.339 0.001 
@10415 5593353.719 6576072.339 0.002 
@10416 5593353.769 6576072.339 0.003 
@10417 5593353.819 6576072.339 0.003 
@10418 5593353.869 6576072.339 0.002 
@10419 5593353.919 6576072.339 0.002 
@1042 5593347.369 6576071.139 -0.004 
@10420 5593353.969 6576072.339 0.002 
@10421 5593354.019 6576072.339 0.002 
@10422 5593354.069 6576072.339 0.003 
@10423 5593354.119 6576072.339 0.004 
@10424 5593354.169 6576072.339 0.004 
@10425 5593354.219 6576072.339 0.004 
@10426 5593354.269 6576072.339 0.004 
@10427 5593354.319 6576072.339 0.004 
@10428 5593354.369 6576072.339 0.005 
@10429 5593354.419 6576072.339 0.005 
@1043 5593347.369 6576071.189 -0.004 
@10430 5593354.469 6576072.339 0.006 
@10431 5593354.519 6576072.339 0.006 
@10432 5593354.569 6576072.339 0.006 
@10433 5593354.619 6576072.339 0.006 
@10434 5593354.669 6576072.339 0.007 
@10435 5593354.719 6576072.339 0.007 
@10436 5593354.769 6576072.339 0.007 
@10437 5593354.819 6576072.339 0.007 
@10438 5593354.869 6576072.339 0.008 
@10439 5593354.919 6576072.339 0.008 
@1044 5593347.369 6576071.239 -0.004 
@10440 5593354.969 6576072.339 0.008 
@10441 5593355.019 6576072.339 0.007 
@10442 5593355.069 6576072.339 0.007 
@10443 5593355.119 6576072.339 0.008 
@10444 5593355.169 6576072.339 0.008 
@10445 5593355.219 6576072.339 0.008 
@10446 5593355.269 6576072.339 0.009 
@10447 5593355.319 6576072.339 0.009 
@10448 5593355.369 6576072.339 0.008 
@10449 5593355.419 6576072.339 0.009 
@1045 5593347.369 6576071.289 -0.003 
@10450 5593355.469 6576072.339 0.010 
@10451 5593355.519 6576072.339 0.009 
@10452 5593355.569 6576072.339 0.009 
@10453 5593355.619 6576072.339 0.009 
@10454 5593355.669 6576072.339 0.009 
@10455 5593355.719 6576072.339 0.009 
@10456 5593355.769 6576072.339 0.010 
@10457 5593355.819 6576072.339 0.009 
@10458 5593355.869 6576072.339 0.009 
@10459 5593355.919 6576072.339 0.009 
@1046 5593347.369 6576071.339 -0.002 
@10460 5593355.969 6576072.339 0.009 
@10461 5593356.019 6576072.339 0.008 
@10462 5593356.069 6576072.339 0.007 
@10463 5593356.119 6576072.339 0.008 
@10464 5593356.169 6576072.339 0.009 
@10465 5593356.219 6576072.339 0.010 
@10466 5593356.269 6576072.339 0.010 
@10467 5593356.319 6576072.339 0.010 
@10468 5593356.369 6576072.339 0.009 
@10469 5593356.419 6576072.339 0.010 
@1047 5593347.369 6576071.389 -0.003 
@10470 5593356.469 6576072.339 0.010 
@10471 5593356.519 6576072.339 0.011 
@10472 5593356.569 6576072.339 0.011 
@10473 5593356.619 6576072.339 0.011 
@10474 5593356.669 6576072.339 0.011 
@10475 5593356.719 6576072.339 0.011 
@10476 5593356.769 6576072.339 0.012 
@10477 5593356.819 6576072.339 0.012 
@10478 5593356.869 6576072.339 0.012 
@10479 5593356.919 6576072.339 0.012 
@1048 5593347.369 6576071.439 -0.003 
@10480 5593356.969 6576072.339 0.012 
@10481 5593357.019 6576072.339 0.012 
@10482 5593357.069 6576072.339 0.012 
@10483 5593346.669 6576072.439 -0.002 
@10484 5593346.719 6576072.439 -0.002 
@10485 5593346.769 6576072.439 -0.001 
@10486 5593346.819 6576072.439 -0.002 
@10487 5593346.869 6576072.439 -0.003 
@10488 5593346.919 6576072.439 -0.003 
@10489 5593346.969 6576072.439 -0.003 
@1049 5593347.369 6576071.489 -0.004 
@10490 5593347.019 6576072.439 -0.003 
@10491 5593347.069 6576072.439 -0.003 
@10492 5593347.119 6576072.439 -0.002 
@10493 5593347.169 6576072.439 -0.001 
@10494 5593347.219 6576072.439 -0.001 
@10495 5593347.269 6576072.439 -0.002 
@10496 5593347.319 6576072.439 -0.002 
@10497 5593347.369 6576072.439 -0.002 
@10498 5593347.419 6576072.439 -0.002 
@10499 5593347.469 6576072.439 -0.002 
@1050 5593347.369 6576071.539 -0.004 
@10500 5593347.519 6576072.439 -0.003 
@10501 5593347.569 6576072.439 -0.004 
@10502 5593347.619 6576072.439 -0.003 
@10503 5593347.669 6576072.439 -0.003 
@10504 5593347.719 6576072.439 -0.003 
@10505 5593347.769 6576072.439 -0.003 
@10506 5593347.819 6576072.439 -0.004 
@10507 5593347.869 6576072.439 -0.005 
@10508 5593347.919 6576072.439 -0.004 
@10509 5593347.969 6576072.439 -0.003 
@1051 5593347.369 6576071.589 -0.003 
@10510 5593348.019 6576072.439 -0.003 
@10511 5593348.069 6576072.439 -0.003 
@10512 5593348.119 6576072.439 -0.003 
